STCODE,FORMAT,CLASS,TAX_ORDER,FAMILY,SCI_NAME,AUTHOR,ADULT_HAB,IMMAT_HAB,ADULT_FUNC,IMMAT_FUNC,HOSTTYPE,HOST,ABUNDANCE,COLLECTION,REFERENCE
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACARIDIDA,ACARIDAE,(literature record only to family),,F-cn,F-cn,Fu,Fu,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACARIDIDA,GLYCYPHAGIDAE,(literature record only to family),,F-cn,F-cn,Fu,Fu,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,BDELLIDAE,Bdella sp.,,F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,BDELLIDAE,Cyta sp. nr. latirostris,(Herman),F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,BDELLIDAE,Spinibdella sp.,,F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CAECULIDAE,Caeculus krantzi,Coineau,F-lt,F-lt,Pr,Pr,,,U,A,40
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CALIGONELLIDAE,Caligonella sp.,,F-cn,F-cn,Pr,Pr,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CHEYLETIDAE,Cheletogenes sp.,,F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CRYPTOGNATHIDAE,Cryptognathus (imbricatus group) sp.,,F-cn,F-cn,,,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CRYPTOGNATHIDAE,Cryptognathus sp.,,F-cn,F-cn,,,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,CUNAXIDAE,Cunaxoides sp.,,F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,ENDEOSTIGMATIDES,(literature record only to supercohort),,F-cn,F-cn,,,,,,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,NANORCHESTIDAE,Nanorchestes sp.,,F-cn,F-cn,Fu,Fu,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,PARATYDEIDAE,Tanytydeus sp.,,F-cn,F-cn,Fu,Fu,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,PENTHALODIDAE,Penthalodes sp.,,F-cn,F-cn,Pr,Pr,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,RHAGIDIIDAE,(literature record only to family),,F-cn,F-cn,Pr,Pr,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,SMARIDIDAE,Sphaerotarsus sp.,,F-cn,ins,Pr,Pa,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,TERPNACARIDAE,N.Gen. (?),,F-cn,F-cn,Fu,Fu,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,TETRANYCHIDAE,(literature record only to family),,F-cn,F-cn,H,H,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,TYDEIDAE,Homotydeus sp.,,F-cn,F-cn,,,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ACTINEDIDA,TYDEIDAE,Metatriophytydeus sp.,,F-cn,F-cn,,,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ARCHEONOTHROIDEA,Acaronychus tragardhi,Grandjean,F-lt,F-lt,Mi,Mi,,,U,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ARCHEONOTHROIDEA,Zachvatkinella sp.,,F-lt,F-lt,Mi,Mi,,,U,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ATOPOCHTHONOIDEA,Atopochthonius artiodactylus,Grandjean,F-lt,F-lt,Mi,Mi,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ATOPOCHTHONOIDEA,Pterochthonius sp.,,F-lt,F-lt,Mi,Mi,,,U,,26
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,BRACHYCHTHONOIDEA,Brachychthonius sp.,,F-lt,F-lt,Mi,Mi,,,C,,"22,25"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,BRACHYCHTHONOIDEA,Eobrachychthonius sp.,,F-lt,F-lt,Mi,Mi,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,BRACHYCHTHONOIDEA,Liochthonius sp.,,F-lt,F-lt,Mi,Mi,,,C,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,BRACHYCHTHONOIDEA,Sellnickochthonius sp.,,F-lt,F-lt,Mi,Mi,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,BRACHYCHTHONOIDEA,Synchthonius sp.,,F-lt,F-lt,Mi,Mi,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CARABODOIDEA,Carabodes spp. (2),,F-lt,F-lt,Fu,Fu,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CARABODOIDEA,Exechocepheus sp.,,F-lt,F-lt,Fu,Fu,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CARABODOIDEA,Tectocepheus sp.,,F-lt,F-lt,Fu,Fu,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CEPHEOIDEA,Eupterotegaeus sp.,,F-lt,F-lt,Fu,Fu,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CEPHEOIDEA,Sphodrocepheus anthelionus,Woolley & Higgens,F-lt,F-lt,Fu,Fu,,,U,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CEPHEOIDEA,Sphodrocepheus tridactylus,Woolley & Higgens,F-lt,F-lt,Fu,Fu,,,U,,"22,25"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CERATOZETOIDEA,Ceratozetes spp. (4),,F-lt,F-lt,Fu,Fu,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CERATOZETOIDEA,Dentizetes sp.,,F-lt,F-lt,Fu,Fu,,,R,,26
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CERATOZETOIDEA,Hypozetes sp.,,F-cn,F-cn,Li,Li,,,C,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CERATOZETOIDEA,Jugatala sp.,,,,,,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CERATOZETOIDEA,Jugatala tuberosa,Ewing,F-cn,F-cn,Li,Li,,,A,,"1,22"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CERATOZETOIDEA,Melanozetes sp.,,F-lt,F-lt,Fu,Fu,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CERATOZETOIDEA,Mycobates sp.,,F-cn,F-cn,Li,Li,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CERATOZETOIDEA,Propelops canadensis,(Hammer),F-lt,F-lt,Mi,Mi,,,C,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CERATOZETOIDEA,Propelops monticolus,(Ewing),F-lt,F-lt,Mi,Mi,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CERATOZETOIDEA,Sphaerozetes sp.,,F-lt,F-lt,Fu,Fu,,,U,,"22,23"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CROTONIOIDEA (=NOTHROIDEA),Camisia carrolli,Andre,F-cn,F-cn,Li,Li,,,A,,"1,22,27,28,49"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CROTONIOIDEA (=NOTHROIDEA),Camisia horrida,(Hermann),F-lt,F-lt,Fu,Fu,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CROTONIOIDEA (=NOTHROIDEA),Camisia segnis,(Hermann),F-cn,F-cn,Li,Li,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CROTONIOIDEA (=NOTHROIDEA),Camisia sp.,,F-lt,F-lt,Fu,Fu,,,R,,26
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CROTONIOIDEA (=NOTHROIDEA),Malaconothrus monodactylus,(Michael),,,,,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CROTONIOIDEA (=NOTHROIDEA),Nothrus sylvestris,Nicolet,F-lt,F-lt,D,D,,,C,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CROTONIOIDEA (=NOTHROIDEA),Platynothrus banksi,(Michael),F-lt,F-lt,D,D,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CROTONIOIDEA (=NOTHROIDEA),Platynothrus peltifer,(Koch),F-lt,F-lt,D,D,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CROTONIOIDEA (=NOTHROIDEA),Trhypochthonius americanus,Ewing,F-lt,F-lt,Fu,Fu,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CROTONIOIDEA (=NOTHROIDEA),Trimalaconothrus simplex,(Banks),,,,,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CTENACAROIDEA,Aphelacrus acarinus,(Berlese),,,,,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CTENACAROIDEA,Ctenacarus sp.,,,,,,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CYMBAEREMAEOIDEA,Ametroproctus oresbios,Higgens & Woolley,F-cn,F-cn,Fu,Fu,,,C,,"1,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CYMBAEREMAEOIDEA,Ametroproctus sp.,,F-lt,F-lt,Fu,Fu,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,CYMBAEREMAEOIDEA,Scapheremaeus sp.,,F-cn,F-cn,Li,Li,,,A,,"1,22"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,DAMAEOIDEA (=BELBOIDEA),Belba californica,(Banks),F-lt,F-lt,Fu,Fu,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,DAMAEOIDEA (=BELBOIDEA),Caenobelba spp. (3),,F-lt,F-lt,Fu,Fu,,,A,,"22,25"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,DAMAEOIDEA (=BELBOIDEA),Epidamaeus spp. (3),,F-lt,F-lt,Fu,Fu,,,C,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,DAMAEOIDEA (=BELBOIDEA),Hungarobelba sp.,,F-lt,F-lt,Fu,Fu,,,C,,"22,25"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,DAMAEOIDEA (=BELBOIDEA),undescribed new genus & species,,F-lt,F-lt,Fu,Fu,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EPILOHMANNIOIDEA,Epilohmannia sp.,,wood,wood,X,X,,,C,,"22,25"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EREMAEOIDEA,Eremaeus sp. (arboreal),,F-cn,F-cn,Li,Li,,,A,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EREMAEOIDEA,Eremaeus spp. (2) (ground),,F-lt,F-lt,Fu,Fu,,,C,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EREMAEOIDEA,Megeremaeus sp.,,F-lt,F-lt,Fu,Fu,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EULOHMANNIOIDEA,Eulohmannia ribagai,Berlese,F-sl,F-sl,Mi,Mi,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EUPHTHIRACAROIDEA,Euphthiracarus tanythrix sierriensis,Walker,wood,wood,X,X,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EUPHTHIRACAROIDEA,Maerkelotritia sp.,,wood,wood,X,X,,,C,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EUPHTHIRACAROIDEA,Maerkelotritia sp. nr. gibbera,(Walker),wood,wood,X,X,,,C,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EUPHTHIRACAROIDEA,Microtritia paeniminnia,(Walker),wood,wood,X,X,,,U,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EUPHTHIRACAROIDEA,Microtritia sp.,,wood,wood,X,X,,,A,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,EUPHTHIRACAROIDEA,Oribotritia megale,(Walker),wood,wood,X,X,,,C,,"22,25"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GALUMNOIDEA,Galumna sp.,,F-lt,F-lt,Fu,Fu,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GALUMNOIDEA,Pergalumna sp.,,F-lt,F-lt,Pr,Pr,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Ceratoppia sp. nr. bipilis,(Hermann),F-lt,F-lt,Fu,Fu,,,C,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Cultroribula sp. (biculturata complex),,F-lt,F-lt,Fu,Fu,,,U,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Furcoribula sp.,,F-lt,F-lt,Fu,Fu,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Gustavia microcephala,(Nicolet),F-lt,F-lt,Mi,Mi,,,C,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Leuroxenillus sp. nr. trichionus,Woolley & Higgens,F-lt,F-lt,Fu,Fu,,,C,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Liacarus bidentatus,Woolley,F-lt,F-lt,Fu,Fu,,,C,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Liacarus sp. nr. robustus,Woolley,F-lt,F-lt,Fu,Fu,,,C,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Liacarus sp. nr. spiniger,Jacot,F-lt,F-lt,Fu,Fu,,,C,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Liacarus spp. (2),,F-lt,F-lt,Fu,Fu,,,C,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Metrioppia oregonensis,Woolley & Higgens,F-lt,F-lt,Fu,Fu,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Peltenuiala pacifica,Norton,F-lt,F-lt,Fu,Fu,,,C,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Stonyxenillus sp.,,F-lt,F-lt,Fu,Fu,,,C,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Tenuiala nuda,Ewing,F-lt,F-lt,Fu,Fu,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,GUSTAVIOIDEA (=LIACAROIDEA),Xenillus sp.,,F-lt,F-lt,Fu,Fu,,,C,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,HERMANNIELLOIDEA,Hermanniella spp. (3),,F-lt,F-lt,Fu,Fu,,,A,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,HYPOCHTHONIOIDEA,Cosmochthonius sp. nr. lanatus,(Michael),F-lt,F-lt,Mi,Mi,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,HYPOCHTHONIOIDEA,Eniochthonius minutissimus,(Berlese),F-lt,F-lt,Mi,Mi,,,U,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,HYPOCHTHONIOIDEA,Eohypochthonius sp.,,F-lt,F-lt,Mi,Mi,,,U,,"22,25"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,HYPOCHTHONIOIDEA,Hypochthonius rufulus,Koch,F-lt,F-lt,D,D,,,C,,"22,25"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,HYPOCHTHONIOIDEA,Sphaerochthonius sp.,,F-lt,F-lt,Mi,Mi,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,LIODOIDEA,Platyliodes macroprionus,Woolley & Higgens,F-cn,F-cn,Li,Li,,,A,,"1,22"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,NANHERMANNIOIDEA,Nanhermannia sp.,,F-lt,F-lt,Fu,Fu,,,U,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ORIBATELLOIDEA,Achipteria sp.,,F-lt,F-lt,Fu,Fu,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ORIBATELLOIDEA,Anachipteria spp. (3),,F-lt,F-lt,Fu,Fu,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ORIBATELLOIDEA,Oribatella spp. (5),,F-lt,F-lt,Fu,Fu,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ORIPODOIDEA (=ORIBATULOIDEA),Eporibatula sp.,,F-lt,F-lt,Fu,Fu,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ORIPODOIDEA (=ORIBATULOIDEA),Oribatula sp.,,F-lt,F-lt,Fu,Fu,,,R,,26
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ORIPODOIDEA (=ORIBATULOIDEA),Phauloppia spp. (2),,F-cn,F-cn,Li,Li,,,A,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ORIPODOIDEA (=ORIBATULOIDEA),Scheloribates sp. (arboreal),,F-cn,F-cn,Li,Li,,,A,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ORIPODOIDEA (=ORIBATULOIDEA),Scheloribates spp. (6) (ground),,F-lt,F-lt,Fu,Fu,,,A,,"1,22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,ORIPODOIDEA (=ORIBATULOIDEA),Zygoribatula sp.,,F-lt,F-lt,Fu,Fu,,,C,,"22,25"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,PARHYPOCHTHONOIDEA,Gehypochthonius rhadamanthus,Jacot,wood,wood,X,X,,,C,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,PARHYPOCHTHONOIDEA,Parhypochthonius sp.,,wood,wood,X,X,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,PELOPOIDEA,Eupelops sp.,,F-lt,F-lt,Mi,Mi,,,U,,"22,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,PELOPOIDEA,Peloptulus sp.,,F-lt,F-lt,Mi,Mi,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,PERLOHMANNIOIDEA,Perlohmannia spp. (2),,F-lt,F-lt,,,,,U,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,PHTHIRACAROIDEA,Phthiracarus spp. (2),,wood,wood,X,X,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,PLATEREMEOIDEA (=GYMNODAMAEOIDEA),Jacotella sp.,,F-lt,F-lt,Fu,Fu,,,C,,"22,25"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,PLATEREMEOIDEA (=GYMNODAMAEOIDEA),Joshuella sp.,,F-lt,F-lt,Fu,Fu,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,PLATEREMEOIDEA (=GYMNODAMAEOIDEA),Odontodamaeus veriornatus,Hammer,F-lt,F-lt,Fu,Fu,,,A,,"1,22"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Autogneta sp.,,F-lt,F-lt,Fu,Fu,,,R,,26
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Oppia sp.,,F-lt,F-lt,Fu,Fu,,,C,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Oppiella nova,(Oudemans),F-lt,F-lt,Fu,Fu,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Oppiella spp. (3),,F-lt,F-lt,Fu,Fu,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Oribella sp.,,F-cn,F-cn,Li,Li,,,U,,1
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Quadroppia sp. nr. quadricarinata,(Michael),F-lt,F-lt,Mi,Mi,,,A,,"1,22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Rhinosuctobelba sp. nr. dicerosa,Woolley & Higgens,F-lt,F-lt,Mi,Mi,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Rhynchobelba sp.,,F-lt,F-lt,Mi,Mi,,,C,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Suctobelba sp.,,F-lt,F-lt,Mi,Mi,,,R,,22
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Suctobelbella spp.,,F-lt,F-lt,Mi,Mi,,,A,,"22,25,26"
SA001,1,ARACHNIDA-ACARI,ACARIFORMES-ORIBATIDA,THYRISOMOIDEA (=OPPIOIDEA),Veloppia sp.,,F-lt,F-lt,Fu,Fu,,,R,,26
SA001,1,ARACHNIDA-ACARI,PARASITIFORMES-GAMASIDA,PARASITIDAE,Schizothetus vicarius,Athias-Henriot,F-cn,F-cn,Pr,Pr,,,,,1
SA001,1,ARACHNIDA-ACARI,PARASITIFORMES-GAMASIDA,PHYTOSEIIDAE,Typhlodromus sp.,,F-cn,F-cn,Pr,Pr,,,C,,1
SA001,1,ARACHNIDA-ACARI,PARASITIFORMES-GAMASIDA,SCUTACARIDAE,undetermined specimens,,,,,,,,,A,
SA001,1,ARACHNIDA-ACARI,PARASITIFORMES-GAMASIDA,UROPODIDAE,undetermined specimens,,,,,,,,,A,
SA001,1,ARACHNIDA-ACARI,PARASITIFORMES-GAMASIDA,ZERCONIDAE,Zercon sp.,,F-cn,F-cn,Fu,Fu,,,,,1
SA001,1,ARACHNIDA-ACARI,PARASITIFORMES-IXODIDA,IXODIDAE,Ixodes pacificus,Cooley & Kohls,anim,anim,Pa,Pa,,,C,A,
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Agelenopsis oregonensis,Chamberlin & Ivie,O-vg,O-vg,Pr,Pr,,,C,A,"10,40"
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Blabomma oregonensis,Chamberlin & Ivie,F-lt,F-lt,Pr,Pr,,,,A,"10,40"
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Calymmaria emertoni,(Simon),F-lt,F-lt,Pr,Pr,,,C,A,"10,40"
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Cicurina jonesi,Chamberlin & Ivie,F-lt,F-lt,Pr,Pr,,,,A,"10,40"
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Cicurina simplex,Simon,F-lt,F-lt,Pr,Pr,,,,A,"10,40"
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Cicurina tersa,Simon,F-lt,F-lt,Pr,Pr,,,,A,"10,40"
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Cryphoeca peckhami,Simon,F-lt,F-lt,Pr,Pr,,,C,,10
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Cybaeina confusa,Chamberlin & Ivie,F-lt,F-lt,Pr,Pr,,,C,A,"10,40"
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Cybaeota spp.,,F-lt,F-lt,Pr,Pr,,,C,,10
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Cybaeus cascadius,Roth,F-lt,F-lt,Pr,Pr,,,C,A,"10,40"
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Cybaeus eutypus,Chamberlin & Ivie,F-lt,F-lt,Pr,Pr,,,C,A,"10,40"
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Cybaeus morosus,Simon,F-lt,F-lt,Pr,Pr,,,C,A,"10,40"
SA001,1,ARACHNIDA-ARANEAE,ARANEAE,AGELENIDAE,Cybaeus multnoma,Chamberlin & Ivie,F-lt,F-lt,Pr,Pr,,,C,A,"10,40"
