"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","loglike_sjSDM","loss","AUC.train","AUC.valid","ll.train","ll.valid","nagel.train","nagel.valid","plr.train","plr.valid","cor.train","cor.valid","k"
1,0,0.6,1,0.5,0.002,2,0.2,"relu",0.6,0.5,8383.705078125,106.607,0.605246807830474,0.510026950150174,-37.3237720048381,-10.4008918745046,0.0246339925553086,-0.0860304207466767,1.1773586319553,1.02317601527279,0.12559111098987,0.0223726968891435,1
2,0.6,0.6,0.25,0.25,0.001,2,0.1,"relu",0.3,0.9,12288.021484375,179.091,0.523362248990701,0.502993730690657,-58.7754832435889,-15.4321685561673,-0.0737137899938928,-0.0933464398724963,1.03040271478574,1.00193368180077,0.0326382389100375,0.00276966989674629,1
3,0.4,0.2,0.5,0.5,0.002,1,0.1,"relu",0.1,0.2,11149.6767578125,135.61,0.524679295892637,0.520577359787713,-51.4694886026439,-13.4074626925915,-0.0035151457185295,-0.00668581482664925,1.01153818851352,1.01034988365074,0.0374857086114738,0.0244027850191865,1
4,0.2,0,0,0,0.001,2,0.2,"relu",0.5,0.9,10212.8857421875,140.54,0.538392966906063,0.512678310532526,-46.7105699948238,-12.474995740647,-0.0940283837093248,-0.136122341640418,1.08492204865948,1.03162248880024,0.0514310351226836,0.0150151520510808,1
5,1,0.4,0.25,0,0.002,1,0.2,"relu",0.4,0.8,11187.1845703125,137.988,0.525980458242621,0.524466571036658,-51.4386008175981,-13.4085446612577,-0.00278649640439392,-0.00753758384131513,1.01817907374096,1.01483476483169,0.0439678980088013,0.031066206792117,1
6,1,0.8,0.75,0.5,0.001,2,0.2,"relu",0.6,0.7,12826.83984375,199.204,0.515614255993743,0.495416942568741,-58.1995066033793,-15.2582619282725,-0.063093430875664,-0.0772355161837921,1.0176953970361,0.995249011845357,0.0213627973036757,-0.00701324981915226,1
7,0.6,0,0.5,0,0.001,1,0.1,"relu",0.6,0,13530.869140625,221.123,0.502379021589582,0.49815517360408,-60.4695776306391,-15.8390482264029,-0.0695179502602562,-0.0781401246799684,1.01028827939883,1.00706818714182,0.009577913851136,-0.00277484276076915,1
8,0.2,1,1,0.5,0.002,2,0.1,"relu",1,1,8148.01708984375,110.643,0.587930150983059,0.508631825271221,-37.5267722218757,-10.1664050369584,0.0177120015186446,-0.0378690368558358,1.153728470765,1.00704684073712,0.103990689764716,0.0054831605054735,1
9,0.4,0.6,0.5,0.75,0.002,2,0.2,"relu",0,0.4,8816.650390625,109.564,0.557311321799681,0.520267947534336,-54.2926297465279,-14.2245803274755,-0.00318166448238149,-0.0136333221544334,1.02478491509029,1.00567482718369,0.0737769850117129,0.0287624364385919,1
10,0.6,0.4,0.25,0.75,0.002,2,0.2,"relu",0.1,1,9764.1240234375,122.499,0.567453649571735,0.530373034956107,-50.8268159744375,-13.3500583410085,0.00121520671680308,-0.0166841892902403,1.05277034860978,1.02091879210795,0.08625242152383,0.0383711595478847,1
1,0,0.6,1,0.5,0.002,2,0.2,"relu",0.6,0.5,8343.83984375,105.32,0.603625473059387,0.536434474496358,-37.1947406961422,-10.445321526264,0.0226409806194368,-0.0240147165604399,1.18636529488586,1.06640823538485,0.121717649644505,0.0461735145664736,2
2,0.6,0.6,0.25,0.25,0.001,2,0.1,"relu",0.3,0.9,12372.97265625,177.879,0.520569427991696,0.502464293757646,-59.0299524431137,-14.6638127953741,-0.0728580916585988,-0.0653145763413647,1.02468297553372,1.02105552364695,0.0315970817434027,0.0106991713476723,2
3,0.4,0.2,0.5,0.5,0.002,1,0.1,"relu",0.1,0.2,11154.5263671875,134.914,0.53134079564723,0.4929837657405,-51.6835719747365,-13.048768191494,-0.00160738077061238,-0.00888843812984068,1.01302400868174,1.001132056844,0.042739375334492,0.0164116343346845,2
4,0.2,0,0,0,0.001,2,0.2,"relu",0.5,0.9,9807.7265625,135.988,0.538872635463871,0.5002377512609,-44.5176393493582,-11.483606180886,-0.0915806506246672,-0.10239191053718,1.09042868313974,1.04036999146351,0.0527253731154593,0.00860983130950106,2
5,1,0.4,0.25,0,0.002,1,0.2,"relu",0.4,0.8,11211.505859375,137.225,0.536808287242063,0.480853207263769,-51.5853371118375,-13.061353371986,0.000421698538897976,-0.0116214599592908,1.02199583034771,1.00179426844261,0.0509746521970667,-7.92179086554165e-05,2
6,1,0.8,0.75,0.5,0.001,2,0.2,"relu",0.6,0.7,12852.2890625,198.318,0.510171174216946,0.491092583028574,-58.108016207793,-14.3967649709495,-0.0640542389560209,-0.051857809326223,1.00944418629667,1.01692892036135,0.0152751494360231,0.00578049776008004,2
