"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","cor.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","cor.valid_mean"
8,0.2,1,1,0.5,0.002,2,0.1,"relu",1,1,0.58508351934209,-37.5057434036918,0.0149913442791992,1.14922286480827,0.0973054210230715,0.525021114165424,-10.214677827506,-0.0213790140420525,1.03610667354542,0.0263244091608722
1,0,0.6,1,0.5,0.002,2,0.2,"relu",0.6,0.5,0.60443614044493,-37.2592563504902,0.0236374865873727,1.18186196342058,0.123654380317187,0.523230712323266,-10.4231067003843,-0.0550225686535583,1.04479212532882,0.0342731057278085
10,0.6,0.4,0.25,0.75,0.002,2,0.2,"relu",0.1,1,0.568691274340055,-50.8080759024755,0.0023198225977135,1.05410468644116,0.0885085790756066,0.520011451982463,-13.1439652906297,-0.0170255515754557,1.02029287934502,0.0294128920178669
9,0.4,0.6,0.5,0.75,0.002,2,0.2,"relu",0,0.4,0.5539682561874,-51.0472655177588,-0.00177231463222812,1.02481590442623,0.0721175347548258,0.51676764894966,-13.1916710204841,-0.0109092261803998,1.00982637121089,0.0290742537035447
3,0.4,0.2,0.5,0.5,0.002,1,0.1,"relu",0.1,0.2,0.528010045769933,-51.5765302886902,-0.00256126324457094,1.01228109859763,0.0401125419729829,0.506780562764106,-13.2281154420428,-0.00778712647824496,1.00574097024737,0.0204072096769355
4,0.2,0,0,0,0.001,2,0.2,"relu",0.5,0.9,0.538632801184967,-45.614104672091,-0.092804517166996,1.08767536589961,0.0520782041190715,0.506458030896713,-11.9793009607665,-0.119257126088799,1.03599624013188,0.0118124916802909
2,0.6,0.6,0.25,0.25,0.001,2,0.1,"relu",0.3,0.9,0.521965838491199,-58.9027178433513,-0.0732859408262458,1.02754284515973,0.0321176603267201,0.502729012224151,-15.0479906757707,-0.0793305081069305,1.01149460272386,0.00673442062220931
5,1,0.4,0.25,0,0.002,1,0.2,"relu",0.4,0.8,0.531394372742342,-51.5119689647178,-0.00118239893274797,1.02008745204434,0.047471275102934,0.502659889150213,-13.2349490166219,-0.00957952190030296,1.00831451663715,0.0154934944417308
7,0.6,0,0.5,0,0.001,1,0.1,"relu",0.6,0,0.5025816235871,-60.6784506044971,-0.0687556616777449,1.00867427991071,0.0087145690566554,0.494030722626105,-15.4631867087322,-0.0694246568477236,1.00640954667533,-0.00125434060979102
6,1,0.8,0.75,0.5,0.001,2,0.2,"relu",0.6,0.7,0.512892715105345,-58.1537614055862,-0.0635738349158425,1.01356979166638,0.0183189733698494,0.493254762798658,-14.827513449611,-0.0645466627550075,1.00608896610335,-0.000616376029536109
