"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","tss.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","tjur.valid_mean","cor.valid_mean","tss.valid_mean"
788,0,0.8,0.5,0.5,0.002,2,0.2,"relu",0.9,0.3,0.849533034960564,-22.5481516958985,0.366310295076626,3.2593186016083,0.20418858141842,0.489792571754768,0.793174516746612,0.647187153163825,-8.86345028336594,-0.425944351866053,2.01975503173034,0.0707755639106838,0.196137903289141,0.756979524102803
32,0,0,0,0.75,0.002,2,0.2,"relu",0.3,0.6,0.876882290812084,-20.9335433503399,0.430309529640663,4.39893110937432,0.263787631383909,0.552023020034205,0.807130810779311,0.646850632453233,-9.38560340357406,-0.519523323765138,1.98655645181991,0.0795750601355521,0.187112459575479,0.756972474365411
489,0,1,0.25,0.5,0.002,2,0.2,"relu",0.9,0.3,0.854045277811739,-22.3594589794325,0.373597246898199,3.31864144033758,0.209019266054363,0.496445300839977,0.794326617538545,0.64684725256381,-8.87455878539146,-0.444160050208859,1.8740711683557,0.0702372613035606,0.190800411255832,0.756269768455755
908,0,0.8,0.25,0,0.001,1,0.2,"relu",0.8,0.1,0.850838085263697,-22.6909607269317,0.360144611372151,3.2723304058656,0.201546882575291,0.493846339878208,0.793511511380353,0.646725223115751,-8.3631778648434,-0.149397311432768,1.77370164029968,0.0665414692289281,0.192307694429132,0.751721937758995
559,0,0.2,0.25,0,0.001,2,0.1,"relu",0.4,0.1,0.840049939537234,-22.9503340441611,0.348856536976551,3.25639634699446,0.20295432728259,0.478858088881138,0.793588606870351,0.646635226977118,-8.70915355219634,-0.269468908986627,2.07023402653539,0.0756322386242045,0.191194916554685,0.759470426721759
257,0,0.8,0.5,0.75,0.001,2,0.2,"relu",0.9,0.3,0.820594328765149,-24.1722444860101,0.302055321628323,2.6077953203005,0.160910754363654,0.438252062242695,0.781062560061694,0.646606863556937,-8.14658364639278,-0.0802870564899724,1.74856636403312,0.0627648034208203,0.192875492211832,0.751548237528677
689,0,0,0.5,1,0.002,1,0.2,"relu",0.2,0.1,0.89032369415765,-20.3728494987578,0.447854793051954,4.3786785048815,0.262473285789682,0.572732143125614,0.809767705981667,0.646497455866252,-9.03639886657063,-0.407856689683391,2.60882505892016,0.0730354020285946,0.194516596850604,0.758453119114713
839,0,0.4,0.5,1,0.001,2,0.2,"relu",0.6,0,0.833572775035613,-23.7826778485831,0.317859517619914,2.72410682263598,0.168466624205981,0.463665889451405,0.783541187492189,0.646478055870572,-8.1856742141631,-0.08436946755967,1.73886010385062,0.062563243187633,0.194753747853422,0.752639303598347
375,0,0.4,0.25,0.5,0.001,2,0.1,"relu",0.9,0.7,0.844061529598089,-22.7278610843345,0.357259477489673,3.31778156426055,0.20792690350163,0.485896641373875,0.795007218109588,0.646384330030224,-8.71303964524179,-0.298729298659743,2.09842940070542,0.0774246871077152,0.191868869982591,0.757799263906548
54,0,0,0,0.75,0.001,2,0.2,"relu",0.5,0.5,0.850116864078822,-22.6713599750356,0.363770030131887,3.35626695261193,0.212851388670106,0.499634338648304,0.793348161217038,0.646380382494474,-8.47782840134024,-0.166141964142197,1.94297859234846,0.0729153109324733,0.191080354599486,0.753325474860399
121,0,1,0.5,1,0.002,2,0.1,"relu",0.2,0.2,0.884687373722858,-20.4208651321925,0.446055687980973,4.47498933057711,0.270683862146314,0.564601909791568,0.810751261568922,0.646297993184535,-9.79078263679497,-1.17117648470864,2.50674537173178,0.0779157346855119,0.189438181287214,0.762356665376937
228,0,0.2,0.5,0.75,0.002,2,0.2,"relu",0.3,0.7,0.855303606007113,-22.3613778395877,0.373987749710176,3.31598981475117,0.207309917306563,0.498117353552052,0.794384068997369,0.646052669217877,-8.88652406247313,-0.419028572528152,1.77841368287812,0.0692217926791569,0.189991533995821,0.755605021283719
25,0,0,0.75,0.75,0.002,1,0.2,"relu",1,0.8,0.880268184440331,-20.7454964947937,0.43376822236369,4.20325208870529,0.253207501496213,0.55307868479088,0.807587075236519,0.645999011769301,-9.20282550468658,-0.490681340068016,2.42142931992409,0.0738949179391633,0.196623613666764,0.760038463651559
507,0,0,0.75,0.5,0.001,1,0.2,"relu",0.8,0.7,0.853759483627483,-22.4917426735209,0.367547411614772,3.34032246425486,0.208326535792777,0.500681381052007,0.794513246875681,0.64595755596831,-8.3755353730771,-0.167778430631505,1.87430138779051,0.0692731278781218,0.192748370650826,0.752802657959372
290,0,1,0.75,1,0.001,1,0.2,"relu",0.1,0.4,0.863161768587768,-22.098487221295,0.382215134860842,3.42739321404828,0.218082555909897,0.518890580611708,0.796425648987102,0.645956082114491,-8.35750152284174,-0.126490637750015,1.86666741355453,0.0709341167862956,0.195813311860466,0.753605393415841
893,0,0.4,0.75,0.5,0.001,1,0.2,"relu",0.8,0.5,0.852101564889876,-22.5612749900538,0.364930262302336,3.32606796432386,0.208315776700031,0.497463719504629,0.79355039294286,0.645938922033523,-8.43472731685609,-0.171268696642735,1.87654187609993,0.0694250319676792,0.193951554279797,0.751083054070389
392,0,0,1,0.5,0.001,1,0.1,"relu",0.1,0,0.864293304843312,-21.4488292773319,0.405615505244413,4.00285194659022,0.248577694844206,0.528956818061994,0.80569901772743,0.645924371327271,-8.91300802869148,-0.289501847819681,3.18664166899548,0.0786379982353915,0.197196863527663,0.764229943109609
14,0,0,0.25,0.5,0.002,2,0.1,"relu",0.5,0.2,0.871273657619257,-21.0964922495665,0.421799226034334,4.17096150082321,0.254608679504704,0.538022239377652,0.806379410584715,0.645824665778086,-9.80326529347104,-1.05649100995853,2.72666289436687,0.0753413265129119,0.185103566274767,0.761245578169783
628,0,0.8,0.5,0.25,0.002,2,0.1,"relu",0.5,1,0.869177265563687,-21.1471105852901,0.420360481930617,4.31607222273072,0.251473729336791,0.532884678285293,0.809663967536189,0.645584018856199,-9.73947153783993,-1.06533786501942,2.24319561792427,0.0774408332327747,0.188283078831384,0.765325826392551
855,0,0.6,0.25,0,0.002,2,0.1,"relu",0.4,0.8,0.871562130441688,-21.0490652896878,0.4233202065546,4.19715020519855,0.257464339117595,0.53901454303481,0.806351367143079,0.645454748099705,-9.5550437851229,-0.962151349689144,2.49417653516017,0.0782997532966617,0.189488729318399,0.759895417300886
691,0,0.2,0,1,0.002,1,0.2,"relu",0.4,0,0.903605897177919,-19.0712429338256,0.496305139198787,5.49605739423233,0.31720209945682,0.609940155039981,0.820927363858283,0.645307244846177,-9.5902953055063,-0.635242350933261,2.46698102172074,0.0802080896225845,0.182938007564387,0.757529953727272
484,0,0.4,0.5,0.75,0.001,1,0.2,"relu",1,1,0.849976925107034,-22.6795744761986,0.360797399346957,3.30153892162886,0.201541534637263,0.493010734130984,0.79500368910882,0.645202997156879,-8.39434638650301,-0.145782780456986,1.81256720921211,0.0674374298282828,0.190627498576052,0.753779822274481
661,0,0.4,0.25,0.25,0.002,2,0.2,"relu",0.8,0.4,0.850599323952123,-22.4724190225139,0.369429543206538,3.30687470478965,0.205206012600847,0.492299028480207,0.793960152015418,0.645024405310785,-8.86977167562225,-0.384276894060175,1.83054494874784,0.0688806422190285,0.187797738857948,0.75683091926936
717,0,0.6,1,0,0.001,1,0.2,"relu",0.2,0.9,0.85274354408067,-22.471827424626,0.368804919771011,3.37738421459686,0.20770517355687,0.499325057520784,0.797040774584304,0.644813698786139,-8.41443613590495,-0.145073592540926,1.87309931972434,0.068202310356621,0.189504971444853,0.756174313269528
515,0,0.6,0,1,0.001,1,0.2,"relu",0.6,0.1,0.875277678517537,-21.1468220128282,0.419844903294495,4.0796135597417,0.257080185946641,0.549787221237164,0.805515770841998,0.644721106206834,-8.85195455677999,-0.301865739797196,1.96296432961733,0.0802281779424036,0.190578233221575,0.751540068843273
46,0,0.6,0,0.25,0.002,2,0.2,"relu",0.5,0.5,0.881065716544822,-20.6677158145919,0.440231051712967,4.45408823967588,0.271297815066578,0.561708864915012,0.808762575685991,0.644555844262648,-9.3964882639666,-0.573476811983531,2.02061025799996,0.0807698730648995,0.183723682037545,0.757236964586086
59,0,0,1,0.75,0.001,1,0.1,"relu",0.5,0.4,0.870239854812558,-21.0947801566856,0.419107728727668,4.22223448787335,0.258973210122932,0.541650800955736,0.808094772515688,0.64454950759641,-9.0162370770902,-0.332431798353484,2.51414106988152,0.0784447741138953,0.194308206889098,0.761659109716887
196,0,0.6,0,0.25,0.001,2,0.2,"relu",0.5,0.8,0.850106596088741,-22.6258066056704,0.365445736850851,3.38494784663697,0.214590219019182,0.500614285183009,0.794174400979196,0.644409068468663,-8.58180504240088,-0.196881939617336,1.94478195141793,0.0732356179929557,0.186297422297314,0.752739854265678
48,0,0.6,0.75,0.5,0.001,2,0.1,"relu",0.6,0.3,0.841991826271623,-22.8025607974988,0.354733492180085,3.33815619771971,0.208762771734961,0.483000866874978,0.794862098069497,0.644274024457984,-8.80243354224312,-0.292646607693836,1.87359612236868,0.0736798216445384,0.188977837481999,0.75931255578683
261,0,0.8,0.25,0.25,0.002,1,0.2,"relu",0.5,0.1,0.876414849596425,-21.0515133094286,0.423193985077747,4.03068934594758,0.243535940808859,0.54466697100205,0.804601030559984,0.644138256440833,-9.03576605176566,-0.417887789208919,2.3769792947176,0.0732535342435598,0.189641837300727,0.757332780348646
260,0,0.6,0.25,0.25,0.002,2,0.1,"relu",0.2,0.9,0.873075488003809,-20.9207877401428,0.428694151868802,4.38289931710508,0.260433126609375,0.541194556734905,0.809420174351289,0.643821910220896,-9.61015887230066,-0.654269022056968,2.19953433426821,0.0764142101493745,0.185570652756694,0.76076966696446
673,0,0.2,0,0,0.002,2,0.1,"relu",0.3,0,0.897587034659273,-19.3114904117779,0.488722351938331,5.71651217506457,0.318303439987174,0.600566899631254,0.821378682071727,0.643810408169545,-10.2904933359926,-1.13411911403102,2.92432931121543,0.0837637984528508,0.177658869535849,0.761490633441563
282,0,1,0.75,1,0.002,1,0.2,"relu",0.5,0.3,0.888459897165358,-20.4540684423007,0.444611732700546,4.24697934268542,0.2622275049001,0.567122359530083,0.80839915954301,0.643676583453899,-9.25303103887681,-0.607317200245649,2.03022296027493,0.0744844514141137,0.192028580307411,0.758288719493841
931,0,0,1,1,0.002,1,0.2,"relu",0.9,0.8,0.884725092596668,-20.6610226397996,0.437016007570729,4.20153928826056,0.253620126983111,0.559691526436366,0.808011733714743,0.643666811911514,-9.04415079288446,-0.644441514810365,2.11026417353574,0.0704952903893729,0.192515381914353,0.759475235738529
223,0,0.4,0.25,0,0.001,1,0.1,"relu",0.2,0.2,0.868293762179741,-21.2412125147637,0.414002337427158,4.14537728546621,0.255822268790336,0.536671171013668,0.806881457096181,0.643650770728299,-9.10602191758042,-0.388139039918501,2.77002390552891,0.0778684395209149,0.188053436777492,0.761652794132335
276,0,0.2,1,0.25,0.001,1,0.2,"relu",0.5,0.1,0.851889605024449,-22.6116715146481,0.362659726196944,3.28438344044876,0.205373249253578,0.496375502931318,0.793356521239194,0.643479650789471,-8.38186463467193,-0.145956333298441,1.80234024140559,0.0668500988613301,0.192946833619603,0.753023915949332
328,0,1,0.25,1,0.002,2,0.2,"relu",0.3,0.8,0.868467889961834,-21.8463709453241,0.39377352181517,3.50858627345416,0.220534279034443,0.527169920697302,0.7976975213083,0.643416385442911,-8.87329307353465,-0.438250128091436,1.77396045885419,0.0697574932071286,0.185495330487055,0.755216808666819
182,0,1,1,0,0.001,2,0.2,"relu",1,0.9,0.821906875105519,-24.0785869624494,0.305920567845328,2.64573530583122,0.163935637367982,0.439759194104833,0.782197553913147,0.643173963391816,-8.21874181106275,-0.104392974082669,1.67730769283804,0.0630881895044422,0.191495507459416,0.752175779874189
430,0,0.2,0.75,0.5,0.002,1,0.2,"relu",0.1,0.4,0.872838917157725,-21.2122758475423,0.417078307272375,4.04679874260899,0.241700924491569,0.538411104215448,0.804659494381229,0.642994130451969,-9.14697175312239,-0.438292604098073,2.44308710563643,0.0720886036395523,0.191459174596037,0.757546439677734
248,0,0,0.25,0,0.002,1,0.2,"relu",0.5,0.6,0.879819399876725,-20.8864359410028,0.429859862182849,4.19279734701191,0.247546000633625,0.551789403512532,0.80695609758633,0.642948357442847,-8.88195848142817,-0.384676915116817,2.10476277654463,0.0701719190109378,0.188072755814871,0.758332821299233
711,0,0.2,0,1,0.001,2,0.1,"relu",0.7,0.3,0.867755508999053,-21.4009600413876,0.410536199644668,4.14571047717179,0.253673043314925,0.538789410421383,0.805831164684333,0.642836701265123,-8.99968748403707,-0.341591909635269,3.02069301867025,0.0785101532015701,0.184938218979649,0.759236041122102
