"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","tss.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","tjur.valid_mean","cor.valid_mean","tss.valid_mean"
777,0,1,0.25,0.75,0.002,2,0.1,"relu",0.7,0.1,0.881270879072331,-20.5510859635774,0.441144055118365,4.45315380325714,0.267498065420948,0.557478000419324,0.810873983860794,0.660285284344449,-9.39493240085698,-0.662267050129552,2.6479596062542,0.0806001183158482,0.196167328911852,0.762339206497241
105,0.2,1,0.25,0,0.002,1,0.1,"relu",1,0.6,0.708900009563195,-27.8349384267391,0.150668524460818,1.64663250228481,0.0805165957078829,0.27798366587437,0.74868561144111,0.617407082450627,-7.87761148103874,0.0208755487359304,1.32639597726664,0.0386690623219849,0.151513084365166,0.73314920571323
728,0.2,0.6,0.25,0.75,0.002,2,0.2,"relu",0.3,0.2,0.711437655360858,-29.4649310128805,0.0804133592578738,1.19915985028737,0.0317733251931182,0.270507535036911,0.734962103359612,0.608149956153819,-7.92312664911463,0.0229084744220635,1.08168315846643,0.0139668613541058,0.137379742772935,0.724594913382042
907,0,0.2,1,1,0.002,2,0.1,"relu",0,0.9,0.839368387150432,-26.280706950216,0.298667527785064,5.09203709024532,0.172260577341009,0.459053058836946,0.828117767454319,0.633539665858524,-11.8259895669009,-1.19724932348777,49.3006679540466,0.0563697881767258,0.160909420404695,0.791873271067783
746,0,1,0.75,0,0.001,1,0.2,"relu",0.9,0.2,0.850232880424006,-22.64698479122,0.36130517023371,3.27127680844515,0.203558196706721,0.494308189060501,0.793560828763221,0.647487723907315,-8.42010200694661,-0.170309487212412,1.92398034655925,0.0701260431936324,0.201929808904681,0.754154455858562
979,0,0.4,0.25,1,0.002,1,0.1,"relu",0,0,0.860016910825177,-25.0618629457654,0.335044492492211,7.49744043791868,0.205359981844017,0.493190827771994,0.836125269826544,0.611194641575847,-13.0692314945488,-1.75762950850457,3.02910165496123,0.0475867395329158,0.135667096781409,0.79263750585281
