sample,added lysis buffer(ml),WEIGHT(g),period,lysis batch,aliquot
700226_M1_S2,1,0.2,2,5,0.6
700226_M2_S1,8,,1,2,0.6
700226_M2_S2,2.5,0.48,2,4,0.6
700239_M1_S1,24.55,4.91,1,5,0.6
700239_M1_S2,19.8,3.96,2,6,0.6
HOBO_014_M1_S1,65,,1,1,1.2
HOBO_014_M1_S2,2.5,0.5,2,3,0.6
HOBO_016_M1_S2,3,0.6,2,3,0.6
HOBO_032_M1_S1,30,,1,1,1.2
HOBO_032_M1_S2,1.9,0.38,2,5,0.6
HOBO_032_M2_S1,25,,1,1,1.2
HOBO_032_M2_S2,1.3,0.26,2,5,0.6
HOBO_036_M1_S1,19.5,3.7,1,5,0.6
HOBO_036_M1_S2,2,0.18,2,6,0.6
HOBO_036_M2_S1,11.2,2.24,1,5,0.6
HOBO_036_M2_S2,2,0.38,2,3,0.6
HOBO_043_M1_S2,3,0.59,2,4,0.6
HOBO_053_M1_S1,12,2.4,1,3,0.6
HOBO_053_M1_S2,10.6,2.11,2,4,0.6
HOBO_055_M1_S1,9.5,1.88,1,3,0.6
HOBO_055_M1_S2,9,1.78,2,4,0.6
HOBO_055_M2_S1,7.6,1.52,1,5,0.6
HOBO_060_M1_S1,20,,1,1,1.2
HOBO_060_M1_S2,12,,2,,0.6
HOBO_063_M1_S1,7.5,1.45,1,3,0.6
HOBO_063_M2_S1,3.5,0.7,1,3,0.6
HOBO_063_M2_S2,4,0.79,2,4,0.6
HOBO_211_M1_S1,30,,1,1,1.2
HOBO_211_M1_S2,3,0.58,2,3,0.6
HOBO_211_M2_S1,16,,1,,0.6
HOBO_216_M1_S1,11.3,2.26,1,5,0.6
HOBO_216_M1_S2,6.2,1.24,2,6,0.6
HOBO_233_M1_S1,25,6.52,1,6,0.6
HOBO_233_M1_S2,4.8,0.57,2,6,0.6
HOBO_242_M1_S1,4.5,0.9,1,5,0.6
HOBO_242_M1_S2,4,0.36,2,6,0.6
HOBO_265_M1_S1,7.5,1.54,1,3,0.6
HOBO_265_M1_S2,6.5,1.3,2,4,0.6
HOBO_270_M1_S1,7.3,1.45,2,4,0.6
HOBO_270_M1_S2,28,,2,2,0.6
HOBO_270_M2_S1,10,1.96,1,3,0.6
HOBO_270_M2_S2,19.5,3.9,2,5,0.6
HOBO_273_M1_S1,6,1.18,1,3,0.6
HOBO_273_M1_S2,40.5,,2,1,1.2
HOBO_304_M1_S1,12,,1,,0.6
HOBO_304_M1_S2,9,1.22,2,4,0.6
HOBO_304_M2_S1,6,1.2,1,5,0.6
HOBO_304_M2_S2,5.25,1.05,2,5,0.6
HOBO_308_M1_S1,10,,1,,0.6
HOBO_308_M1_S2,5.2,1.03,2,5,0.6
HOBO_310_M1_S1,2.45,0.49,1,5,0.6
HOBO_310_M1_S2,6,1.13,2,5,0.6
HOBO_310_M2_S1,5,0.54,1,5,0.6
HOBO_310_M2_S2,10,1.52,2,4,0.6
HOBO_312_M1_S1,8,2.47,1,3,0.6
HOBO_312_M1_S2,11,2.17,2,4,0.6
HOBO_315_M1_S1,13.1,2.62,1,5,0.6
HOBO_315_M1_S2,5,0.9,2,4,0.6
HOBO_315_M2_S1,11,2.22,1,3,0.6
HOBO_317_M1_S1,11.5,2.3,1,3,0.6
HOBO_317_M1_S2,2,0.34,2,4,0.6
HOBO_331_M1_S1,6,1,1,5,0.6
HOBO_331_M1_S2,3,0.54,2,3,0.6
HOBO_333_M1_S1,9.25,1.85,1,5,0.6
HOBO_333_M1_S2,8.4,1.08,2,4,0.6
HOBO_333_M2_S1,24.05,4.81,1,6,0.6
HOBO_333_M2_S2,6.8,1.35,2,5,0.6
HOBO_335_M1_S1,20,3.25,1,4,0.6
HOBO_335_M1_S2,5,1,2,4,0.6
HOBO_335_M2_S1,20,4,1,3,0.6
HOBO_335_M2_S2,7,0.86,2,4,0.6
HOBO_341_M1_S1,25,,1,1,1.2
HOBO_341_M1_S2,3,0.58,2,3,0.6
HOBO_345_M1_S1,16,,1,,0.6
HOBO_345_M1_S2,1.1,0.22,2,5,0.6
HOBO_347_M1_S1,30,,1,1,1.2
HOBO_347_M1_S2,6,,2,2,0.6
HOBO_347_M2_S2,2.5,0.51,2,3,0.6
HOBO_349_M1_S1,10,2.32,1,3,0.6
HOBO_349_M1_S2,3.5,0.51,2,6,0.6
HOBO_351_M1_S1,35,,1,1,1.2
HOBO_351_M1_S2,8,,2,2,0.6
HOBO_353_M1_S1,48.25,,1,1,1.2
HOBO_353_M1_S2,4,0.83,2,3,0.6
HOBO_357_M1_S1,20,,1,1,1.2
HOBO_357_M1_S2,1.75,0.35,2,5,0.6
HOBO_357_M2_S1,35,,1,1,1.2
SM_01_M1_S1,8.5,1.33,1,3,0.6
SM_01_M1_S2,6.85,1.37,2,4,0.6
SM_01_M2_S1,12.4,2.48,1,5,0.6
SM_02_M1_S1,10,2.01,1,3,0.6
SM_02_M1_S2,4.7,0.93,2,5,0.6
SM_03_M1_S1,7.5,1.5,1,5,0.6
SM_03_M1_S2,0.6,0.12,2,5,0.6
SM_04_M1_S1,23,3.88,1,3,0.6
SM_04_M1_S2,3.7,0.74,2,4,0.6
SM_05_M1_S1,8.5,1.7,1,3,0.6
SM_05_M1_S2,7.2,1.44,2,4,0.6
SM_06_M1_S2,5,0.45,2,6,0.6
SM_06_M2_S1,10.4,2.07,1,5,0.6
SM_06_M2_S2,3.2,0.44,2,6,0.6
SM_07_M1_S1,11,2.24,1,3,0.6
SM_07_M1_S2,1.65,0.33,2,5,0.6
SM_08_M1_S1,7.6,1.12,1,3,0.6
SM_08_M1_S2,18.3,3.48,2,4,0.6
SM_09_M1_S1,12,2.43,1,3,0.6
SM_09_M1_S2,6.6,1.31,2,4,0.6
SM_09_M2_S1,7.5,1.5,1,3,0.6
SM_09_M2_S2,4.8,0.95,2,4,0.6
SM_PG_M1_S1,6.5,1.28,1,3,0.6
SM_PG_M1_S2,5.5,1.05,2,4,0.6
